Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs
GRC;Greece;2020;Alpha Bank;GRC;Greece;2.897562;0.221582;0.077681;7510
GBR;United Kingdom;2020;Alpha Bank;GRC;Greece;0.023676;0.00161;0.000171;65
CYP;Cyprus;2020;Alpha Bank;GRC;Greece;0.038587;-0.000322785;0.002695;531
LUX;Luxembourg;2020;Alpha Bank;GRC;Greece;0;0.000069;0.000001;0
ROU;Romania;2020;Alpha Bank;GRC;Greece;0.179431;0.017333;0.002929;2006
SRB;Serbia;2020;Alpha Bank;GRC;Greece;0.000002;-0.000337;0;0
ALB;Albania;2020;Alpha Bank;GRC;Greece;0.023452;0.001246;0;416
BGR;Bulgaria;2020;Alpha Bank;GRC;Greece;0.000984;-0.00192;0;0
JEY;Jersey;2020;Alpha Bank;GRC;Greece;0.000003;-0.000158;0;0
IRL;Ireland;2020;Alpha Bank;GRC;Greece;0.002689;0;0;0
